current,all_time,app_id,24_peak,title
316,"20,449",418370,431,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil
316,737,445880,713,CosmoLands | Space-Adventure
312,"6,159",420290,473,Blackwake
312,"2,337",6020,312,STAR WARS Jedi Knight: Jedi Academy
310,"9,253",363680,381,Battlefleet Gothic: Armada
310,"2,157",238320,474,Outlast
309,"5,060",376570,440,WildStar
309,"1,487",40970,624,Stronghold Crusader HD
307,"6,011",313120,392,Stranded Deep
306,"1,823",616560,424,Ultimate Epic Battle Simulator
306,"1,140",586190,360,Socxel | Pixel Soccer
304,"5,567",393100,536,Call of Duty: Modern Warfare Remastered - Multiplayer
302,"2,644",257350,399,Baldur's Gate II: Enhanced Edition
301,"1,851",253250,351,Stonehearth
299,"4,642",203140,540,Hitman: Absolution
298,876,211500,680,RaceRoom Racing Experience
297,"1,757",212070,727,Star Conflict
296,"2,099",545650,335,High Profits
296,902,414290,301,Princess.Loot.Pixel.Again
296,722,214850,329,GameMaker: Studio
294,"5,342",50130,751,Mafia II
291,"1,196",41700,533,S.T.A.L.K.E.R.: Call of Pripyat
290,"1,061",461910,690,Forge of Gods (RPG)
288,"2,871",462930,365,AdVenture Communist
288,"1,761",391730,288,Crashlands
288,"1,210",242680,338,Nuclear Throne
287,"5,950",249130,704,LEGO MARVEL Super Heroes
287,"2,444",390670,505,Steel Ocean
287,"1,666",500,432,Left 4 Dead
285,"5,763",232890,601,Stronghold Crusader 2
283,"2,251",227320,325,You Need A Budget 4 (YNAB)
282,"14,783",371660,438,Far Cry Primal
282,"7,710",239820,368,Game Dev Tycoon
281,"5,858",459510,"2,907",Zula
280,"10,892",57690,397,Tropico 4
280,623,542430,280,Remaining in a dream
280,605,586530,280,Hell`S Little Story
278,888,312450,375,Order of Battle: World War II
273,"13,259",344760,392,Reign Of Kings
273,"3,984",333950,390,Medieval Engineers
272,"4,577",386070,298,Planetary Annihilation: TITANS
272,986,400250,411,Heaven Island - VR MMO
271,"5,279",8190,472,Just Cause 2
271,799,567940,631,Piximalism
271,523,296300,315,Ballistic Overkill
270,472,206480,315,Dungeons & Dragons Online
269,"5,245",409710,354,BioShock Remastered
268,"51,127",273350,614,Evolve Stage 2
268,"5,462",248820,342,Risk of Rain
268,"3,463",269210,361,Hero Siege
266,"3,018",339800,318,HuniePop
266,"1,071",598330,362,SimAirport
264,"2,259",4580,393,"Warhammer 40,000: Dawn of War - Dark Crusade"
264,"1,348",4500,502,S.T.A.L.K.E.R.: Shadow of Chernobyl
263,"1,661",608390,263,Mad Dagger
262,"2,287",400,329,Portal
261,"6,572",225840,410,Sven Co-op
261,"4,170",304430,384,INSIDE
261,"1,648",40100,448,Supreme Commander 2
260,"4,035",246620,403,Plague Inc: Evolved
260,"1,663",510510,452,WWE 2K17
259,827,384300,497,CPUCores :: Maximize Your FPS
258,"3,777",22490,766,Fallout: New Vegas
258,"2,240",242860,411,Verdun
255,"4,007",257510,363,The Talos Principle
255,823,285310,318,RollerCoaster Tycoon: Deluxe
254,295,314070,254,Super Mega Baseball: Extra Innings
252,"1,115",239350,270,Spelunky
251,"3,285",404730,329,Wasteland 2: Director's Cut
250,"2,124",464340,804,Syberia 3
250,465,544730,374,Catan Universe
249,"3,518",496300,303,Kingdom: New Lands
249,"1,732",39150,286,FINAL FANTASY VIII
248,"17,212",207140,357,SpeedRunners
248,"4,729",368500,462,Assassin's Creed Syndicate
248,"2,168",285900,285,Gang Beasts
248,870,224580,492,Arma 2: DayZ Mod
247,"10,329",489520,323,Minion Masters
247,"1,305",481510,337,Night in the Woods
247,640,269950,382,X-Plane 11
247,628,230290,264,Universe Sandbox 
244,"1,487",209870,295,Blacklight: Retribution
243,"2,156",70,340,Half-Life
243,998,511800,569,ONRAID
242,"4,382",355840,699,Survarium
242,"1,099",201310,365,X3: Albion Prelude
242,575,78000,288,Bejeweled 3
242,359,332570,285,Amazing Frog?
241,"15,792",362960,343,Tyranny
241,"5,956",349040,465,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4
241,330,595140,263,Immortal Redneck
240,"9,127",383080,305,Sakura Clicker
240,"6,302",310380,323,Fractured Space
240,749,586400,416,MontaSayer
239,"3,383",238010,345,Deus Ex: Human Revolution - Director's Cut
238,"4,127",587590,310,Unexpected Day
238,573,205710,305,EverQuest Free-to-Play
237,"2,265",48720,496,Mount & Blade: With Fire and Sword
233,"6,185",210970,344,The Witness
233,"2,291",287390,436,Metro: Last Light Redux
233,"2,290",476480,"1,169",Heaven Forest - VR MMO
231,"3,988",274190,354,Broforce
231,"1,548",25890,311,Hearts of Iron III
230,"1,589",526740,480,hack_me
230,"1,186",202970,424,Call of Duty: Black Ops II
230,377,431730,273,Aseprite
228,"6,819",393530,336,Insanity Clicker
227,"6,889",102500,328,Kingdoms of Amalur: Reckoning
227,986,9880,270,Champions Online
224,"3,702",221040,448,Resident Evil 6 / Biohazard 6
224,"1,448",252530,"1,045",OMSI 2
224,660,233860,254,Kenshi
222,970,522570,293,The Last Hope
219,"1,601",32440,219,LEGO Star Wars: The Complete Saga
218,"3,354",298630,297,The Escapists
217,685,502140,685,Drayt Empire
217,342,568770,269,Cinderella Phenomenon
216,871,575870,216,Call to 10
216,295,330070,273,VEGAS Movie Studio 13 Platinum - Steam Powered
215,"1,372",329430,305,State of Decay: Year-One
213,604,628420,604,NGHTMN
213,379,521150,354,Another Brick in the Mall
211,"2,710",276810,339,Mordheim: City of the Damned
210,"8,483",214490,333,Alien: Isolation
210,751,586030,236,Shardbound
209,"18,950",274170,286,Hotline Miami 2: Wrong Number
208,"1,697",362890,253,Black Mesa
208,"1,012",581030,298,The Last Hope Trump vs Mafia
208,716,601930,635,Trianguluv
207,"16,367",91310,372,Dead Island
207,"6,048",239030,237,"Papers, Please"
207,"3,937",286690,385,Metro 2033 Redux
206,"3,861",207610,285,The Walking Dead
206,"1,051",461880,319,Hyposphere
205,"1,369",501880,313,StoneBack | Prehistory
204,"8,229",377840,252,FINAL FANTASY IX
204,"4,906",65800,245,Dungeon Defenders
204,"2,873",435150,274,Divinity: Original Sin 2
204,"1,787",482770,319,Football Manager 2017 Demo
201,"4,443",48240,368,Anno 2070
201,"1,517",24720,238,Spore: Galactic Adventures
200,"5,115",239160,426,Thief
199,"10,108",265930,245,Goat Simulator
199,"9,506",201790,387,Orcs Must Die! 2
199,"1,333",331470,614,Everlasting Summer
199,"1,159",39680,333,The Guild II: Renaissance
199,969,489220,438,Unforgiving Trials: The Darkest Crusade
199,382,336300,280,Hearthlands
198,"1,686",365450,215,Hacknet
198,"1,150",364420,259,Roguelands
198,353,228180,269,Action! - Gameplay Recording and Streaming
197,"2,118",410380,247,HEX: Shards of Fate
197,230,589590,197,Kindergarten
196,754,434210,295,It's Spring Again
195,"7,553",428690,341,Youtubers Life
195,"5,222",311310,321,Naval Action
195,"2,798",466560,352,Northgard
195,"1,943",4920,371,Natural Selection 2
194,"12,234",241560,394,The Crew
194,"9,696",351970,292,Tales of Zestiria
